{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-233, Centroid: (-229.11496, 132.40093)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-235 - 3-245, Centroid: (-220.29095, 34.44378)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-241, Centroid: (-254.29679, -42.5892)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-501, Centroid: (-186.43122, -319.60321)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-504,3-506, Centroid: (-179.68396, -378.99317)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-512, Centroid: (-204.51882, -523.19576)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-515 - 3-521, Centroid: (-284.42425, -453.19624)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-518, Centroid: (-275.59093, -529.02141)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-520, Centroid: (-321.21797, -529.02141)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-522,3-528, Centroid: (-437.91711, -523.19576)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-523 - 3-531, Centroid: (-455.19264, -454.43329)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-532, Centroid: (-563.31167, -510.66038)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-534 - 3-538, Centroid: (-572.74173, -416.17223)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-540, Centroid: (-521.88014, -377.50842)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-541 - 3-549, Centroid: (-455.19264, -422.35628)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-542 - 3-553, Centroid: (-431.81687, -351.62722)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-554, Centroid: (-451.58091, -290.9246)}
