{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 104, Centroid: (-489.31113, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 106, Centroid: (-421.79847, 96.80393)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 122, Centroid: (-255.02412, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 123, Centroid: (-189.32859, -5.68877)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 127, Centroid: (-106.48647, -5.68877)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 135, Centroid: (26.34179, -41.54814)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 141, Centroid: (120.65329, -40.72066)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 148, Centroid: (73.06674, 98.25561)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 160, Centroid: (295.56955, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Building Outline, Centroid: (1.13403, 19.71669)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Building Outline, Centroid: (-11.63974, -140.94818)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Entrance, Centroid: (-522.86033, 24.39317)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Entrance, Centroid: (-482.205, -131.8816)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Entrance, Centroid: (545.3175, -103.09518)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Elevator, Centroid: (79.92995, 148.40186)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Elevator, Centroid: (-531.59557, -172.90686)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Elevator, Centroid: (586.97813, -73.95874)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (-264.56324, 17.37101)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Hallway, Centroid: (309.22796, -0.91605)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (338.41087, 159.77436)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (518.5425, -108.10314)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (50.06308, 159.48748)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-585.14557, -158.02123)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-538.68707, -36.38635)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-382.76682, 159.77436)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Stairs, Centroid: (-11.63974, -140.94818)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: To University Hospital, Centroid: (574.35563, 8.65373)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Washroom Men, Centroid: (-360.49926, 119.65967)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Washroom Men, Centroid: (524.81497, -27.29722)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (523.70352, -59.86167)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: Washroom Women, Centroid: (-360.49926, 95.46654)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (343.94314, -11.49006)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-7.547, -41.54814)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (436.56575, -32.30439)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (261.63193, -43.84014)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-49.70594, -41.54814)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (241.08715, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (322.42216, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 121, Centroid: (-271.07934, -5.68877)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (360.40462, 148.91741)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (146.81103, 108.32362)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-310.55867, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-504.15439, 74.22186)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-437.69113, 114.02375)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (442.24668, 80.53185)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (552.29812, 45.2781)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (195.69545, 39.10177)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-402.99825, 148.41333)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-27.19832, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 115, Centroid: (-429.86695, 2.26542)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-6.92015, 38.11193)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 119, Centroid: (-326.82274, -5.68877)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: 117, Centroid: (-382.14231, -17.12549)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (586.97812, -24.55249)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: X, Centroid: (-157.43639, 107.56311)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 1, Room: None, Centroid: None}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 501, Centroid: (-436.49299, -38.33297)}
{Building: Medical Sciences, Campus: North Campus, Floor: Level 5, Room: 503, Centroid: (-444.3036, 18.22094)}
